time	Id(amp:M1)	Id(amp:M2)
Step Information: Temp=-50  (Run: 1/9)
2.711819541033419e-003	-1.065986e-004	1.483956e-001
2.712528745736654e-003	-1.065053e-004	1.486542e-001
2.713109632600868e-003	-1.066803e-004	1.487979e-001
2.713822907078930e-003	-1.067528e-004	1.488245e-001
2.714406870986889e-003	-1.065712e-004	1.489131e-001
2.715131202255475e-003	-1.065007e-004	1.491622e-001
2.715715482327713e-003	-1.066723e-004	1.492890e-001
2.716446235234167e-003	-1.067208e-004	1.493094e-001
2.717032900129247e-003	-1.065441e-004	1.493990e-001
2.717775211255337e-003	-1.065019e-004	1.496366e-001
2.718383881234447e-003	-1.066722e-004	1.497475e-001
2.719133558139005e-003	-1.066820e-004	1.497678e-001
2.719777692011658e-003	-1.065024e-004	1.498735e-001
2.720532604710016e-003	-1.065182e-004	1.500871e-001
2.721223701859891e-003	-1.066866e-004	1.501766e-001
2.722007991175070e-003	-1.066227e-004	1.502122e-001
2.722798098470254e-003	-1.064675e-004	1.503638e-001
2.723623804002992e-003	-1.065537e-004	1.505292e-001
2.724730165761153e-003	-1.066314e-004	1.506133e-001
2.725750425769621e-003	-1.064938e-004	1.507463e-001
2.726738856133038e-003	-1.065469e-004	1.509216e-001
2.727727628056375e-003	-1.066423e-004	1.509932e-001
2.728756910551320e-003	-1.065192e-004	1.510844e-001
2.729887398394650e-003	-1.065329e-004	1.512605e-001
2.730894749699271e-003	-1.066316e-004	1.513305e-001
2.731993640501508e-003	-1.065436e-004	1.513986e-001
2.733406762701450e-003	-1.065414e-004	1.515675e-001
2.734600522914713e-003	-1.066128e-004	1.516322e-001
2.735861102197207e-003	-1.065316e-004	1.516993e-001
2.737466645925971e-003	-1.065602e-004	1.518350e-001
2.738872872436235e-003	-1.065962e-004	1.518769e-001
2.740344271017652e-003	-1.065121e-004	1.519457e-001
2.741858026709529e-003	-1.065574e-004	1.520195e-001
2.743845630054309e-003	-1.065611e-004	1.520319e-001
2.745546905813793e-003	-1.065424e-004	1.520758e-001
2.747273291319990e-003	-1.066104e-004	1.520778e-001
2.749147291969586e-003	-1.065929e-004	1.520413e-001
2.754580990380491e-003	-1.066278e-004	1.518824e-001
2.757107673352746e-003	-1.066312e-004	1.517612e-001
2.759512242131686e-003	-1.066785e-004	1.515926e-001
2.761955750028109e-003	-1.066698e-004	1.513880e-001
2.764885437528109e-003	-1.067187e-004	1.511084e-001
2.767815125028109e-003	-1.067360e-004	1.507609e-001
2.773529616739187e-003	-1.068065e-004	1.499562e-001
2.776050485245624e-003	-1.068203e-004	1.495549e-001
2.778465365608896e-003	-1.068760e-004	1.491217e-001
