temperature	V(n005)	V(n006)
1.353999999999967e+002	3.559202e-001	1.958822e-001
1.352999999999967e+002	3.558348e-001	1.961480e-001
1.351999999999966e+002	3.557495e-001	1.964139e-001
1.350999999999966e+002	3.556641e-001	1.966797e-001
1.349999999999966e+002	3.555787e-001	1.969456e-001
1.348999999999966e+002	3.554933e-001	1.972114e-001
1.347999999999965e+002	3.554079e-001	1.974773e-001
1.346999999999965e+002	3.553225e-001	1.977432e-001
1.345999999999965e+002	3.552370e-001	1.980090e-001
1.344999999999965e+002	3.551515e-001	1.982749e-001
1.343999999999965e+002	3.550660e-001	1.985407e-001
1.342999999999964e+002	3.549805e-001	1.988066e-001
1.341999999999964e+002	3.548950e-001	1.990725e-001
1.340999999999964e+002	3.548095e-001	1.993383e-001
1.339999999999964e+002	3.547239e-001	1.996042e-001
1.338999999999963e+002	3.546383e-001	1.998700e-001
1.337999999999963e+002	3.545527e-001	2.001359e-001
1.336999999999963e+002	3.544672e-001	2.004017e-001
1.335999999999963e+002	3.543815e-001	2.006675e-001
1.334999999999963e+002	3.542959e-001	2.009334e-001
1.333999999999962e+002	3.542103e-001	2.011992e-001
1.332999999999962e+002	3.541246e-001	2.014651e-001
1.331999999999962e+002	3.540389e-001	2.017309e-001
1.330999999999962e+002	3.539532e-001	2.019968e-001
1.329999999999961e+002	3.538675e-001	2.022626e-001
1.328999999999961e+002	3.537818e-001	2.025284e-001
1.327999999999961e+002	3.536961e-001	2.027943e-001
1.326999999999961e+002	3.536103e-001	2.030601e-001
1.325999999999960e+002	3.535246e-001	2.033259e-001
1.324999999999960e+002	3.534388e-001	2.035918e-001
1.323999999999960e+002	3.533530e-001	2.038576e-001
1.322999999999960e+002	3.532672e-001	2.041234e-001
1.321999999999960e+002	3.531814e-001	2.043892e-001
1.320999999999959e+002	3.530956e-001	2.046551e-001
1.319999999999959e+002	3.530097e-001	2.049209e-001
1.318999999999959e+002	3.529239e-001	2.051867e-001
1.317999999999959e+002	3.528380e-001	2.054525e-001
1.316999999999958e+002	3.527521e-001	2.057183e-001
1.315999999999958e+002	3.526662e-001	2.059841e-001
1.314999999999958e+002	3.525803e-001	2.062500e-001
1.313999999999958e+002	3.524944e-001	2.065158e-001
1.312999999999958e+002	3.524085e-001	2.067816e-001
1.311999999999957e+002	3.523225e-001	2.070474e-001
1.310999999999957e+002	3.522366e-001	2.073132e-001
1.309999999999957e+002	3.521506e-001	2.075790e-001
1.308999999999957e+002	3.520646e-001	2.078447e-001
1.307999999999956e+002	3.519786e-001	2.081105e-001
1.306999999999956e+002	3.518926e-001	2.083763e-001
1.305999999999956e+002	3.518066e-001	2.086421e-001
1.304999999999956e+002	3.517206e-001	2.089079e-001
1.303999999999955e+002	3.516345e-001	2.091736e-001
1.302999999999955e+002	3.515485e-001	2.094394e-001
1.301999999999955e+002	3.514624e-001	2.097052e-001
1.300999999999955e+002	3.513763e-001	2.099710e-001
1.299999999999955e+002	3.512903e-001	2.102367e-001
1.298999999999954e+002	3.512042e-001	2.105025e-001
1.297999999999954e+002	3.511181e-001	2.107682e-001
1.296999999999954e+002	3.510319e-001	2.110340e-001
1.295999999999954e+002	3.509458e-001	2.112997e-001
1.294999999999953e+002	3.508597e-001	2.115655e-001
1.293999999999953e+002	3.507735e-001	2.118312e-001
1.292999999999953e+002	3.506874e-001	2.120970e-001
1.291999999999953e+002	3.506012e-001	2.123627e-001
1.290999999999953e+002	3.505150e-001	2.126284e-001
1.289999999999952e+002	3.504288e-001	2.128942e-001
1.288999999999952e+002	3.503426e-001	2.131599e-001
1.287999999999952e+002	3.502564e-001	2.134256e-001
1.286999999999952e+002	3.501702e-001	2.136913e-001
1.285999999999951e+002	3.500839e-001	2.139570e-001
1.284999999999951e+002	3.499977e-001	2.142227e-001
1.283999999999951e+002	3.499115e-001	2.144884e-001
1.282999999999951e+002	3.498252e-001	2.147541e-001
1.281999999999950e+002	3.497389e-001	2.150198e-001
1.280999999999950e+002	3.496526e-001	2.152855e-001
1.279999999999950e+002	3.495663e-001	2.155512e-001
1.278999999999950e+002	3.494800e-001	2.158169e-001
1.277999999999950e+002	3.493937e-001	2.160825e-001
1.276999999999949e+002	3.493074e-001	2.163482e-001
1.275999999999949e+002	3.492211e-001	2.166139e-001
1.274999999999949e+002	3.491347e-001	2.168795e-001
1.273999999999949e+002	3.490484e-001	2.171452e-001
1.272999999999948e+002	3.489620e-001	2.174109e-001
1.271999999999948e+002	3.488757e-001	2.176765e-001
1.270999999999948e+002	3.487893e-001	2.179422e-001
1.269999999999948e+002	3.487029e-001	2.182078e-001
1.268999999999948e+002	3.486165e-001	2.184734e-001
1.267999999999947e+002	3.485301e-001	2.187391e-001
1.266999999999947e+002	3.484437e-001	2.190047e-001
1.265999999999947e+002	3.483573e-001	2.192703e-001
1.264999999999947e+002	3.482709e-001	2.195359e-001
1.263999999999946e+002	3.481844e-001	2.198015e-001
1.262999999999946e+002	3.480980e-001	2.200671e-001
1.261999999999946e+002	3.480116e-001	2.203327e-001
1.260999999999946e+002	3.479251e-001	2.205983e-001
1.259999999999945e+002	3.478386e-001	2.208639e-001
1.258999999999945e+002	3.477522e-001	2.211295e-001
1.257999999999945e+002	3.476657e-001	2.213951e-001
1.256999999999945e+002	3.475792e-001	2.216607e-001
1.255999999999945e+002	3.474927e-001	2.219262e-001
1.254999999999944e+002	3.474062e-001	2.221918e-001
1.253999999999944e+002	3.473197e-001	2.224574e-001
1.252999999999944e+002	3.472332e-001	2.227229e-001
1.251999999999944e+002	3.471466e-001	2.229885e-001
1.250999999999943e+002	3.470601e-001	2.232540e-001
1.249999999999943e+002	3.469736e-001	2.235195e-001
1.248999999999943e+002	3.468870e-001	2.237851e-001
1.247999999999943e+002	3.468004e-001	2.240506e-001
1.246999999999943e+002	3.467139e-001	2.243161e-001
1.245999999999942e+002	3.466273e-001	2.245816e-001
1.244999999999942e+002	3.465407e-001	2.248471e-001
1.243999999999942e+002	3.464542e-001	2.251126e-001
1.242999999999942e+002	3.463676e-001	2.253781e-001
1.241999999999941e+002	3.462810e-001	2.256436e-001
1.240999999999941e+002	3.461944e-001	2.259091e-001
1.239999999999941e+002	3.461078e-001	2.261746e-001
1.238999999999941e+002	3.460211e-001	2.264401e-001
1.237999999999940e+002	3.459345e-001	2.267055e-001
1.236999999999940e+002	3.458479e-001	2.269710e-001
1.235999999999940e+002	3.457612e-001	2.272365e-001
1.234999999999940e+002	3.456746e-001	2.275019e-001
1.233999999999940e+002	3.455879e-001	2.277673e-001
1.232999999999939e+002	3.455013e-001	2.280328e-001
1.231999999999939e+002	3.454146e-001	2.282982e-001
1.230999999999939e+002	3.453279e-001	2.285637e-001
1.229999999999939e+002	3.452413e-001	2.288291e-001
1.228999999999938e+002	3.451546e-001	2.290945e-001
1.227999999999938e+002	3.450679e-001	2.293599e-001
1.226999999999938e+002	3.449812e-001	2.296253e-001
1.225999999999938e+002	3.448945e-001	2.298907e-001
1.224999999999938e+002	3.448078e-001	2.301561e-001
1.223999999999937e+002	3.447211e-001	2.304215e-001
1.222999999999937e+002	3.446344e-001	2.306868e-001
1.221999999999937e+002	3.445477e-001	2.309522e-001
1.220999999999937e+002	3.444609e-001	2.312176e-001
1.219999999999936e+002	3.443742e-001	2.314829e-001
1.218999999999936e+002	3.442874e-001	2.317483e-001
1.217999999999936e+002	3.442007e-001	2.320136e-001
1.216999999999936e+002	3.441139e-001	2.322790e-001
1.215999999999935e+002	3.440272e-001	2.325443e-001
1.214999999999935e+002	3.439404e-001	2.328096e-001
1.213999999999935e+002	3.438537e-001	2.330749e-001
1.212999999999935e+002	3.437669e-001	2.333402e-001
1.211999999999935e+002	3.436801e-001	2.336055e-001
1.210999999999934e+002	3.435933e-001	2.338708e-001
1.209999999999934e+002	3.435065e-001	2.341361e-001
1.208999999999934e+002	3.434197e-001	2.344014e-001
1.207999999999934e+002	3.433329e-001	2.346667e-001
1.206999999999933e+002	3.432461e-001	2.349320e-001
1.205999999999933e+002	3.431593e-001	2.351972e-001
1.204999999999933e+002	3.430725e-001	2.354625e-001
1.203999999999933e+002	3.429857e-001	2.357277e-001
1.202999999999933e+002	3.428988e-001	2.359930e-001
1.201999999999932e+002	3.428120e-001	2.362582e-001
1.200999999999932e+002	3.427252e-001	2.365234e-001
1.199999999999932e+002	3.426383e-001	2.367887e-001
1.198999999999932e+002	3.425515e-001	2.370539e-001
1.197999999999931e+002	3.424647e-001	2.373191e-001
1.196999999999931e+002	3.423778e-001	2.375843e-001
1.195999999999931e+002	3.422909e-001	2.378495e-001
1.194999999999931e+002	3.422041e-001	2.381147e-001
1.193999999999930e+002	3.421172e-001	2.383799e-001
1.192999999999930e+002	3.420303e-001	2.386450e-001
1.191999999999930e+002	3.419434e-001	2.389102e-001
1.190999999999930e+002	3.418566e-001	2.391754e-001
1.189999999999930e+002	3.417697e-001	2.394405e-001
1.188999999999929e+002	3.416828e-001	2.397057e-001
1.187999999999929e+002	3.415959e-001	2.399708e-001
1.186999999999929e+002	3.415090e-001	2.402359e-001
1.185999999999929e+002	3.414221e-001	2.405010e-001
1.184999999999928e+002	3.413352e-001	2.407662e-001
1.183999999999928e+002	3.412483e-001	2.410313e-001
1.182999999999928e+002	3.411613e-001	2.412964e-001
1.181999999999928e+002	3.410744e-001	2.415615e-001
1.180999999999928e+002	3.409875e-001	2.418265e-001
1.179999999999927e+002	3.409006e-001	2.420916e-001
1.178999999999927e+002	3.408136e-001	2.423567e-001
1.177999999999927e+002	3.407267e-001	2.426218e-001
1.176999999999927e+002	3.406398e-001	2.428868e-001
1.175999999999926e+002	3.405528e-001	2.431519e-001
1.174999999999926e+002	3.404659e-001	2.434169e-001
1.173999999999926e+002	3.403789e-001	2.436820e-001
1.172999999999926e+002	3.402920e-001	2.439470e-001
1.171999999999925e+002	3.402050e-001	2.442120e-001
1.170999999999925e+002	3.401181e-001	2.444770e-001
1.169999999999925e+002	3.400311e-001	2.447420e-001
1.168999999999925e+002	3.399441e-001	2.450070e-001
1.167999999999925e+002	3.398571e-001	2.452720e-001
1.166999999999924e+002	3.397702e-001	2.455370e-001
1.165999999999924e+002	3.396832e-001	2.458020e-001
1.164999999999924e+002	3.395962e-001	2.460669e-001
1.163999999999924e+002	3.395092e-001	2.463319e-001
1.162999999999923e+002	3.394222e-001	2.465968e-001
1.161999999999923e+002	3.393352e-001	2.468618e-001
1.160999999999923e+002	3.392482e-001	2.471267e-001
1.159999999999923e+002	3.391612e-001	2.473916e-001
1.158999999999923e+002	3.390742e-001	2.476566e-001
